fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff_info
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common responsibleDepartment,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.responsibleDepartment,Object Identification Information,"",Responsible department,responsibleDepartments,responsibleDepartment,string,n,y,n,option list: departments,"archaeology, archaeology-nagpra, collection-management, design, education, ethnographic, history, naamcc, natural-history, poindexter-village, registrar, sites",
anthro_7-0-0 collectionobject ns2:collectionobjects_common collection,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.collection,Object Identification Information,"",Collection,"",collection,string,n,n,n/a,option list: collections,"library-collection, permanent-collection, study-collection, teaching-collection",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common collection,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.collection,Object Identification Information,"",Collection,"",collection,string,n,n,n/a,option list: collections,"active-use-collection, architectural-salvaged-collection, education-collection, outdoor-collection, permanent-collection, props-and-design, sites-and-facilities",
anthro_7-0-0 collectionobject ns2:collectionobjects_common namedCollection,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.namedCollection,Object Identification Information,"",Named collection,namedCollections,namedCollection,string,n,y,n,authority: work/local,"",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common namedCollection,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.namedCollection,Object Identification Information,"",Named collection,namedCollections,namedCollection,string,n,y,n,authority: work/local,"",
anthro_7-0-0 collectionobject ns2:collectionobjects_common descriptionLevel,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.descriptionLevel,Object Identification Information,"",Description level,"",descriptionLevel,string,n,n,n/a,vocabulary: descriptionlevel,"",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_ohc descriptionLevel,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_ohc,ns2:collectionobjects_ohc,collectionobjects_ohc.descriptionLevel,Object Identification Information,"",Description level,"",descriptionLevel,string,n,n,n/a,vocabulary: descriptionlevel,"",
anthro_7-0-0 collectionobject ns2:collectionobjects_common recordStatus,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.recordStatus,Object Identification Information,"",Record status,"",recordStatus,string,n,n,n/a,option list: recordStatuses,"approved, in-process, new, temporary",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common recordStatus,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.recordStatus,Object Identification Information,"",Record status,"",recordStatus,string,n,n,n/a,option list: recordStatuses,"approved, in-process, new, ready-for-review, revision-needed, temporary",
anthro_7-0-0 collectionobject ns2:collectionobjects_common briefDescription,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.briefDescription,Object Identification Information,"",Brief description,briefDescriptions,briefDescription,string,n,y,n,"","",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common briefDescription,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.briefDescription,Object Identification Information,"",Brief description,briefDescriptions,briefDescription,string,n,y,n,"","",
anthro_7-0-0 collectionobject ns2:collectionobjects_common computedCurrentLocation,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.computedCurrentLocation,Object Identification Information,"",Computed current location,"",computedCurrentLocation,string,n,n,n/a,authority: location/local; authority: location/offsite; authority: organization/local,"",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common computedCurrentLocation,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.computedCurrentLocation,Object Identification Information,"",Computed current location,"",computedCurrentLocation,string,n,n,n/a,authority: location/local; authority: location/offsite; authority: organization/local,"",
anthro_7-0-0 collectionobject ns2:collectionobjects_anthro ethnoFileCode,anthro_7-0-0,collectionobject,ns2:collectionobjects_anthro,ns2:collectionobjects_anthro,collectionobjects_anthro.ethnoFileCode,Object Identification Information,"",Ethnographic file code,ethnoFileCodes,ethnoFileCode,string,n,y,n,authority: concept/ethfilecode,"",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_anthro ethnoFileCode,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_anthro,ns2:collectionobjects_anthro,collectionobjects_anthro.ethnoFileCode,Object Identification Information,"",Ethnographic file code,ethnoFileCodes,ethnoFileCode,string,n,y,n,authority: concept/ethfilecode,"",
anthro_7-0-0 collectionobject ns2:collectionobjects_common publishTo,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.publishTo,Object Identification Information,"",Publish to,publishToList,publishTo,string,n,y,n,vocabulary: publishto,"",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common publishTo,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.publishTo,Object Identification Information,"",Publish to,publishToList,publishTo,string,n,y,n,vocabulary: publishto,"",
anthro_7-0-0 collectionobject ns2:collectionobjects_common inventoryStatus,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.inventoryStatus,Object Identification Information,"",Inventory status,inventoryStatusList,inventoryStatus,string,n,y,n,vocabulary: inventorystatus,"",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common inventoryStatus,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.inventoryStatus,Object Identification Information,"",Inventory status,inventoryStatusList,inventoryStatus,string,n,y,n,vocabulary: inventorystatus,"",
anthro_7-0-0 collectionobject ns2:collectionobjects_common objectNameCurrency,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameCurrency,Object Identification Information,Object name,Object name currency,objectNameList > objectNameGroup,objectNameCurrency,string,n,n,y,option list: nameCurrencies,"current, out of date, unknown",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common objectNameCurrency,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameCurrency,Object Identification Information,Object name,Object name currency,objectNameList > objectNameGroup,objectNameCurrency,string,n,n,y,option list: nameCurrencies,"current, out of date, unknown",
anthro_7-0-0 collectionobject ns2:collectionobjects_common objectNameSystem,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameSystem,Object Identification Information,Object name,Object name system,objectNameList > objectNameGroup,objectNameSystem,string,n,n,y,option list: nameSystems,"AASLH Nomenclature, Bennyhoff Olivella bead typology, Getty Art & Architecture Thesaurus, Gifford worked bone typology, Gifford worked shell typology, Heizer projectile point typology, Justice projectile point typology, Meighan historic glass bead typology, Treganza clay artifact typology, no system",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common objectNameSystem,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameSystem,Object Identification Information,Object name,Object name system,objectNameList > objectNameGroup,objectNameSystem,string,n,n,y,option list: nameSystems,"AASLH Nomenclature, Bennyhoff Olivella bead typology, Getty Art & Architecture Thesaurus, Gifford worked bone typology, Gifford worked shell typology, Heizer projectile point typology, Justice projectile point typology, Local OHC, Meighan historic glass bead typology, Treganza clay artifact typology, no system",
anthro_7-0-0 collectionobject ns2:collectionobjects_common objectNameType,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameType,Object Identification Information,Object name,Object name type,objectNameList > objectNameGroup,objectNameType,string,n,n,y,option list: nameTypes,"classified, denomination, simple, taxonomic, typological",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common objectNameType,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameType,Object Identification Information,Object name,Object name type,objectNameList > objectNameGroup,objectNameType,string,n,n,y,option list: nameTypes,"classified, denomination, simple, taxonomic, typological",
anthro_7-0-0 collectionobject ns2:collectionobjects_common objectNameLanguage,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameLanguage,Object Identification Information,Object name,Object name language,objectNameList > objectNameGroup,objectNameLanguage,string,n,n,y,vocabulary: languages,"",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common objectNameLanguage,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameLanguage,Object Identification Information,Object name,Object name language,objectNameList > objectNameGroup,objectNameLanguage,string,n,n,y,vocabulary: languages,"",
anthro_7-0-0 collectionobject ns2:collectionobjects_common objectNameNote,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameNote,Object Identification Information,Object name,Object name note,objectNameList > objectNameGroup,objectNameNote,string,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common objectNameNote,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameNote,Object Identification Information,Object name,Object name note,objectNameList > objectNameGroup,objectNameNote,string,n,n,y,"","",
anthro_7-0-0 collectionobject ns2:collectionobjects_common assocPeopleType,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocPeopleType,Object Identification Information,Associated cultural group,Associated cultural group type of assoc.,assocPeopleGroupList > assocPeopleGroup,assocPeopleType,string,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common assocPeopleType,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocPeopleType,Object Identification Information,Associated cultural group,Associated cultural group type of assoc.,assocPeopleGroupList > assocPeopleGroup,assocPeopleType,string,n,n,y,"","",
anthro_7-0-0 collectionobject ns2:collectionobjects_common assocPeopleNote,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocPeopleNote,Object Identification Information,Associated cultural group,Associated cultural group note,assocPeopleGroupList > assocPeopleGroup,assocPeopleNote,string,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common assocPeopleNote,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocPeopleNote,Object Identification Information,Associated cultural group,Associated cultural group note,assocPeopleGroupList > assocPeopleGroup,assocPeopleNote,string,n,n,y,"","",
anthro_7-0-0 collectionobject ns2:collectionobjects_common comment,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.comment,Object Identification Information,"",Comment,comments,comment,string,n,y,n,"","",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common comment,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.comment,Object Identification Information,"",Comment,comments,comment,string,n,y,n,"","",
anthro_7-0-0 collectionobject ns2:collectionobjects_annotation annotationType,anthro_7-0-0,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationType,Object Identification Information,Annotation,Annotation type,annotationGroupList > annotationGroup,annotationType,string,n,n,y,vocabulary: annotationtype,"",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_annotation annotationType,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationType,Object Identification Information,Annotation,Annotation type,annotationGroupList > annotationGroup,annotationType,string,n,n,y,vocabulary: annotationtype,"",
anthro_7-0-0 collectionobject ns2:collectionobjects_annotation annotationNote,anthro_7-0-0,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationNote,Object Identification Information,Annotation,Annotation note,annotationGroupList > annotationGroup,annotationNote,string,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_annotation annotationNote,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationNote,Object Identification Information,Annotation,Annotation note,annotationGroupList > annotationGroup,annotationNote,string,n,n,y,"","",
anthro_7-0-0 collectionobject ns2:collectionobjects_annotation annotationDate,anthro_7-0-0,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationDate,Object Identification Information,Annotation,Annotation date,annotationGroupList > annotationGroup,annotationDate,date,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_annotation annotationDate,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationDate,Object Identification Information,Annotation,Annotation date,annotationGroupList > annotationGroup,annotationDate,date,n,n,y,"","",
anthro_7-0-0 collectionobject ns2:collectionobjects_annotation annotationAuthor,anthro_7-0-0,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationAuthor,Object Identification Information,Annotation,Annotation author,annotationGroupList > annotationGroup,annotationAuthor,string,n,n,y,authority: person/local,"",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_annotation annotationAuthor,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationAuthor,Object Identification Information,Annotation,Annotation author,annotationGroupList > annotationGroup,annotationAuthor,string,n,n,y,authority: person/local,"",
anthro_7-0-0 collectionobject ext.dimension measuredPart,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measuredPart,Object Identification Information,Dimensions,Measured part,measuredPartGroupList > measuredPartGroup,measuredPart,string,n,n,y,option list: measuredParts,"base, frame, framed, image-size, mount, paper-size, plate-size, unframed",
ohc_1-0-18_7-2 collectionobject ext.dimension measuredPart,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measuredPart,Object Identification Information,Dimensions,Measured part,measuredPartGroupList > measuredPartGroup,measuredPart,string,n,n,y,option list: measuredParts,"base, frame, framed, image-size, mount, paper-size, plate-size, unframed",
anthro_7-0-0 collectionobject ext.dimension dimensionSummary,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.dimensionSummary,Object Identification Information,Dimensions,Dimension summary,measuredPartGroupList > measuredPartGroup,dimensionSummary,string,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ext.dimension dimensionSummary,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.dimensionSummary,Object Identification Information,Dimensions,Dimension summary,measuredPartGroupList > measuredPartGroup,dimensionSummary,string,n,n,y,"","",
anthro_7-0-0 collectionobject ext.dimension dimension,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.dimension,Object Identification Information,Dimensions > Measurement,Measurement dimension,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,dimension,string,n,n,y,option list: dimensions,"area, base, circumference, count, depth, diameter, height, intended duration, length, running-time, screen resolution, target, volume, weight, width",
ohc_1-0-18_7-2 collectionobject ext.dimension dimension,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.dimension,Object Identification Information,Dimensions > Measurement,Measurement dimension,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,dimension,string,n,n,y,option list: dimensions,"area, base, circumference, count, depth, diameter, height, length, running-time, target, thickness, volume, weight, width",
anthro_7-0-0 collectionobject ext.dimension measuredBy,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measuredBy,Object Identification Information,Dimensions > Measurement,Measured by,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measuredBy,string,n,n,y,authority: person/local; authority: organization/local,"",
ohc_1-0-18_7-2 collectionobject ext.dimension measuredBy,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measuredBy,Object Identification Information,Dimensions > Measurement,Measured by,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measuredBy,string,n,n,y,authority: person/local; authority: organization/local,"",
anthro_7-0-0 collectionobject ext.dimension measurementMethod,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measurementMethod,Object Identification Information,Dimensions > Measurement,Measurement method,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementMethod,string,n,n,y,option list: measurementMethods,"balance_beam_scale, electronic_distance_measurement, goniometer, hydraulic_or_pneumatic_scale, measuring_tape_cloth, measuring_tape_metal, microscopy_reticule, odometer, optical_range_finder, osteometric_board, pacing_pedometer, protractor, ruler, sliding_calipers, spreading_calipers, spring_scale, stadia_transit, standard_mesh_screen, taping_chaining, theodolite_total_station",
ohc_1-0-18_7-2 collectionobject ext.dimension measurementMethod,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measurementMethod,Object Identification Information,Dimensions > Measurement,Measurement method,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementMethod,string,n,n,y,option list: measurementMethods,"balance_beam_scale, electronic_distance_measurement, goniometer, hydraulic_or_pneumatic_scale, measuring_tape_cloth, measuring_tape_metal, microscopy_reticule, odometer, optical_range_finder, osteometric_board, pacing_pedometer, protractor, ruler, sliding_calipers, spreading_calipers, spring_scale, stadia_transit, standard_mesh_screen, taping_chaining, theodolite_total_station",
anthro_7-0-0 collectionobject ext.dimension value,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.value,Object Identification Information,Dimensions > Measurement,Measurement value,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,value,float,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ext.dimension value,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.value,Object Identification Information,Dimensions > Measurement,Measurement value,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,value,float,n,n,y,"","",
anthro_7-0-0 collectionobject ext.dimension measurementUnit,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measurementUnit,Object Identification Information,Dimensions > Measurement,Measurement unit,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementUnit,string,n,n,y,option list: measurementUnits,"carats, centimeters, cubic-centimeters, dpi, feet, hours, inches, kilograms, liters, meters, millimeters, milliseconds, minutes, ounces, pixels, pounds, ppi, seconds, square-feet, stories, tons",
ohc_1-0-18_7-2 collectionobject ext.dimension measurementUnit,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measurementUnit,Object Identification Information,Dimensions > Measurement,Measurement unit,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementUnit,string,n,n,y,option list: measurementUnits,"acres, carats, centimeters, cubic-centimeters, feet, grams, inches, kilograms, liters, meters, millimeters, minutes, pixels, pounds, square-feet, stories",
anthro_7-0-0 collectionobject ext.dimension valueQualifier,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.valueQualifier,Object Identification Information,Dimensions > Measurement,Measurement qualifier,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,valueQualifier,string,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ext.dimension valueQualifier,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.valueQualifier,Object Identification Information,Dimensions > Measurement,Measurement qualifier,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,valueQualifier,string,n,n,y,"","",
anthro_7-0-0 collectionobject ext.dimension valueDate,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.valueDate,Object Identification Information,Dimensions > Measurement,Measurement date,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,valueDate,date,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ext.dimension valueDate,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.valueDate,Object Identification Information,Dimensions > Measurement,Measurement date,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,valueDate,date,n,n,y,"","",
anthro_7-0-0 collectionobject ext.dimension measuredPartNote,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measuredPartNote,Object Identification Information,Dimensions,Dimension note,measuredPartGroupList > measuredPartGroup,measuredPartNote,string,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ext.dimension measuredPartNote,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measuredPartNote,Object Identification Information,Dimensions,Dimension note,measuredPartGroupList > measuredPartGroup,measuredPartNote,string,n,n,y,"","",
anthro_7-0-0 collectionobject ns2:collectionobjects_common materialComponent,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.materialComponent,Object Identification Information,Material,Material component,materialGroupList > materialGroup,materialComponent,string,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common materialComponent,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.materialComponent,Object Identification Information,Material,Material component,materialGroupList > materialGroup,materialComponent,string,n,n,y,"","",
anthro_7-0-0 collectionobject ns2:collectionobjects_common materialComponentNote,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.materialComponentNote,Object Identification Information,Material,Material component note,materialGroupList > materialGroup,materialComponentNote,string,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common materialComponentNote,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.materialComponentNote,Object Identification Information,Material,Material component note,materialGroupList > materialGroup,materialComponentNote,string,n,n,y,"","",
anthro_7-0-0 collectionobject ns2:collectionobjects_common materialName,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.materialName,Object Identification Information,Material,Material name,materialGroupList > materialGroup,materialName,string,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common materialName,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.materialName,Object Identification Information,Material,Material name,materialGroupList > materialGroup,materialName,string,n,n,y,"","",
anthro_7-0-0 collectionobject ns2:collectionobjects_common materialSource,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.materialSource,Object Identification Information,Material,Material source,materialGroupList > materialGroup,materialSource,string,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common materialSource,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.materialSource,Object Identification Information,Material,Material source,materialGroupList > materialGroup,materialSource,string,n,n,y,"","",
anthro_7-0-0 collectionobject ns2:collectionobjects_common title,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.title,Object Identification Information,Title,Title,titleGroupList > titleGroup,title,string,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common title,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.title,Object Identification Information,Title,Title,titleGroupList > titleGroup,title,string,n,n,y,"","",
anthro_7-0-0 collectionobject ns2:collectionobjects_common titleLanguage,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleLanguage,Object Identification Information,Title,Title language,titleGroupList > titleGroup,titleLanguage,string,n,n,y,vocabulary: languages,"",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common titleLanguage,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleLanguage,Object Identification Information,Title,Title language,titleGroupList > titleGroup,titleLanguage,string,n,n,y,vocabulary: languages,"",
anthro_7-0-0 collectionobject ns2:collectionobjects_common titleType,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleType,Object Identification Information,Title,Title type,titleGroupList > titleGroup,titleType,string,n,n,y,option list: titleTypes,"assigned-by-artist, collection, generic, popular, series, trade",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common titleType,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleType,Object Identification Information,Title,Title type,titleGroupList > titleGroup,titleType,string,n,n,y,option list: titleTypes,"assigned-by-artist, book-title, collection, site",
anthro_7-0-0 collectionobject ns2:collectionobjects_common titleTranslation,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleTranslation,Object Identification Information,Title > Title translation,Title translation,titleGroupList > titleGroup > titleTranslationSubGroupList > titleTranslationSubGroup,titleTranslation,string,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common titleTranslation,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleTranslation,Object Identification Information,Title > Title translation,Title translation,titleGroupList > titleGroup > titleTranslationSubGroupList > titleTranslationSubGroup,titleTranslation,string,n,n,y,"","",
anthro_7-0-0 collectionobject ns2:collectionobjects_common titleTranslationLanguage,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleTranslationLanguage,Object Identification Information,Title > Title translation,Title translation language,titleGroupList > titleGroup > titleTranslationSubGroupList > titleTranslationSubGroup,titleTranslationLanguage,string,n,n,y,vocabulary: languages,"",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common titleTranslationLanguage,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleTranslationLanguage,Object Identification Information,Title > Title translation,Title translation language,titleGroupList > titleGroup > titleTranslationSubGroupList > titleTranslationSubGroup,titleTranslationLanguage,string,n,n,y,vocabulary: languages,"",
anthro_7-0-0 collectionobject ns2:collectionobjects_common usage,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.usage,Object Identification Information,Context of use,Usage,usageGroupList > usageGroup,usage,string,n,n,y,"","",
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common usage,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.usage,Object Identification Information,Context of use,Usage,usageGroupList > usageGroup,usage,string,n,n,y,"","",
